league_key,season,manager_id,roster_id,pre_keeper_budget,keeper_spend,opening_cash,opening_roster_spots,minimum_bid,state_confidence
bishop_sycamore,2023,Bishop_Derek,1,375,119,256,13,1,authoritative_sleeper
bishop_sycamore,2023,Bishop_Troy,2,370,178,192,13,1,authoritative_sleeper
bishop_sycamore,2023,Bishop_Fritz,3,459,132,327,12,1,authoritative_sleeper
bishop_sycamore,2023,Bishop_Seth,4,403,135,268,13,1,authoritative_sleeper
bishop_sycamore,2023,Bishop_Zach,5,378,159,219,13,1,authoritative_sleeper
bishop_sycamore,2023,Bishop_Jaylen,6,358,148,210,13,1,authoritative_sleeper
bishop_sycamore,2023,Bishop_Ernest,7,372,176,196,13,1,authoritative_sleeper
bishop_sycamore,2023,Bishop_Ryan,8,400,165,235,13,1,authoritative_sleeper
bishop_sycamore,2023,Bishop_Pete,9,440,86,354,13,1,authoritative_sleeper
bishop_sycamore,2023,Bishop_Brandon,10,380,154,226,13,1,authoritative_sleeper
bishop_sycamore,2023,Bishop_Redden,11,400,152,248,14,1,authoritative_sleeper
bishop_sycamore,2023,Bishop_Cosey,12,465,131,334,13,1,authoritative_sleeper
bishop_sycamore,2024,Bishop_Derek,1,490,107,383,12,1,authoritative_sleeper
bishop_sycamore,2024,Bishop_Troy,2,340,268,72,13,1,authoritative_sleeper
bishop_sycamore,2024,Bishop_Fritz,3,415,146,269,12,1,authoritative_sleeper
bishop_sycamore,2024,Bishop_Seth,4,393,197,196,12,1,authoritative_sleeper
bishop_sycamore,2024,Bishop_Zach,5,455,219,236,12,1,authoritative_sleeper
bishop_sycamore,2024,Bishop_Jaylen,6,335,146,189,12,1,authoritative_sleeper
bishop_sycamore,2024,Bishop_Ernest,7,397,167,230,12,1,authoritative_sleeper
bishop_sycamore,2024,Bishop_Ryan,8,410,176,234,12,1,authoritative_sleeper
bishop_sycamore,2024,Bishop_Pete,9,335,222,113,12,1,authoritative_sleeper
bishop_sycamore,2024,Bishop_Brandon,10,410,209,201,12,1,authoritative_sleeper
bishop_sycamore,2024,Bishop_Nobs,11,400,191,209,12,1,authoritative_sleeper
bishop_sycamore,2024,Bishop_Cosey,12,420,106,314,12,1,authoritative_sleeper
bishop_sycamore,2025,Bishop_Derek,1,400,151,249,12,1,authoritative_sleeper
bishop_sycamore,2025,Bishop_Troy,2,400,238,162,14,1,authoritative_sleeper
bishop_sycamore,2025,Bishop_Fritz,3,412,308,104,12,1,authoritative_sleeper
bishop_sycamore,2025,Bishop_Seth,4,430,256,174,12,1,authoritative_sleeper
bishop_sycamore,2025,Bishop_Zach,5,440,137,303,12,1,authoritative_sleeper
bishop_sycamore,2025,Bishop_Jaylen,6,315,177,138,12,1,authoritative_sleeper
bishop_sycamore,2025,Bishop_Ernest,7,370,216,154,12,1,authoritative_sleeper
bishop_sycamore,2025,Bishop_Ryan,8,380,259,121,12,1,authoritative_sleeper
bishop_sycamore,2025,Bishop_Pete,9,400,246,154,12,1,authoritative_sleeper
bishop_sycamore,2025,Bishop_Brandon,10,475,164,311,12,1,authoritative_sleeper
bishop_sycamore,2025,Bishop_Nobs,11,378,200,178,12,1,authoritative_sleeper
bishop_sycamore,2025,Bishop_Cosey,12,400,163,237,12,1,authoritative_sleeper
gdfm,2026,team_1,1,317,186,131,12,1,high
gdfm,2026,team_2,2,430,226,204,12,1,high
gdfm,2026,team_3,3,390,175,215,12,1,mixed_keeper_cost_confidence
gdfm,2026,team_4,4,375,270,105,12,1,high
gdfm,2026,team_5,5,431,246,185,12,1,high
gdfm,2026,team_6,6,370,230,140,12,1,high
gdfm,2026,team_7,7,390,98,292,12,1,inferred_from_recorded_sales_minimum
gdfm,2026,team_8,8,365,185,180,12,1,high
gdfm,2026,team_9,9,468,129,339,12,1,high
gdfm,2026,team_10,10,425,185,240,12,1,high
gdfm,2026,team_11,11,410,142,268,12,1,high
gdfm,2026,team_12,12,430,151,279,12,1,mixed_keeper_cost_confidence
